01-08 01:21:08 Model para number = 14.73
01-08 01:34:16 [ 1] Lr: 0.001000, Training: 1.41%,  Loss: 15.79945, ACC: 0.00% 
01-08 01:34:16 [ 1] Lr: 0.001000, Training: 1.42%,  Loss: 15.79362, ACC: 0.00% 
01-08 01:34:17 [ 1] Lr: 0.001000, Training: 1.43%,  Loss: 15.79028, ACC: 0.00% 
01-08 01:34:39 [ 1] Lr: 0.001000, Training: 1.44%,  Loss: 15.78857, ACC: 0.00% 
01-08 01:34:39 [ 1] Lr: 0.001000, Training: 1.45%,  Loss: 15.78756, ACC: 0.00% 
01-08 01:34:39 [ 1] Lr: 0.001000, Training: 1.46%,  Loss: 15.78366, ACC: 0.00% 
01-08 01:34:40 [ 1] Lr: 0.001000, Training: 1.47%,  Loss: 15.77889, ACC: 0.00% 
01-08 01:35:00 [ 1] Lr: 0.001000, Training: 1.47%,  Loss: 15.77794, ACC: 0.00% 
01-08 01:35:00 [ 1] Lr: 0.001000, Training: 1.48%,  Loss: 15.77406, ACC: 0.00% 
01-08 01:35:00 [ 1] Lr: 0.001000, Training: 1.49%,  Loss: 15.77155, ACC: 0.00% 
01-08 01:35:01 [ 1] Lr: 0.001000, Training: 1.50%,  Loss: 15.76946, ACC: 0.00% 
01-08 01:35:21 [ 1] Lr: 0.001000, Training: 1.51%,  Loss: 15.76757, ACC: 0.00% 
01-08 01:35:21 [ 1] Lr: 0.001000, Training: 1.52%,  Loss: 15.76598, ACC: 0.00% 
01-08 01:35:22 [ 1] Lr: 0.001000, Training: 1.53%,  Loss: 15.76347, ACC: 0.00% 
01-08 01:35:22 [ 1] Lr: 0.001000, Training: 1.54%,  Loss: 15.75941, ACC: 0.00% 
01-08 01:35:44 [ 1] Lr: 0.001000, Training: 1.55%,  Loss: 15.75445, ACC: 0.00% 
01-08 01:35:44 [ 1] Lr: 0.001000, Training: 1.56%,  Loss: 15.75323, ACC: 0.00% 
01-08 01:35:45 [ 1] Lr: 0.001000, Training: 1.57%,  Loss: 15.75050, ACC: 0.00% 
01-08 01:35:45 [ 1] Lr: 0.001000, Training: 1.58%,  Loss: 15.74542, ACC: 0.00% 
01-08 01:36:06 [ 1] Lr: 0.001000, Training: 1.58%,  Loss: 15.74116, ACC: 0.00% 
01-08 01:36:06 [ 1] Lr: 0.001000, Training: 1.59%,  Loss: 15.73741, ACC: 0.00% 
01-08 01:36:06 [ 1] Lr: 0.001000, Training: 1.60%,  Loss: 15.73178, ACC: 0.00% 
01-08 01:36:07 [ 1] Lr: 0.001000, Training: 1.61%,  Loss: 15.72792, ACC: 0.00% 
01-08 01:36:24 [ 1] Lr: 0.001000, Training: 1.62%,  Loss: 15.72189, ACC: 0.00% 
01-08 01:36:24 [ 1] Lr: 0.001000, Training: 1.63%,  Loss: 15.71823, ACC: 0.00% 
01-08 01:36:25 [ 1] Lr: 0.001000, Training: 1.64%,  Loss: 15.71574, ACC: 0.00% 
01-08 01:36:25 [ 1] Lr: 0.001000, Training: 1.65%,  Loss: 15.71240, ACC: 0.00% 
01-08 01:36:46 [ 1] Lr: 0.001000, Training: 1.66%,  Loss: 15.70943, ACC: 0.00% 
01-08 01:36:47 [ 1] Lr: 0.001000, Training: 1.67%,  Loss: 15.70790, ACC: 0.00% 
01-08 01:36:47 [ 1] Lr: 0.001000, Training: 1.68%,  Loss: 15.70548, ACC: 0.00% 
01-08 01:36:47 [ 1] Lr: 0.001000, Training: 1.68%,  Loss: 15.70093, ACC: 0.00% 
01-08 01:37:08 [ 1] Lr: 0.001000, Training: 1.69%,  Loss: 15.69865, ACC: 0.00% 
01-08 01:37:08 [ 1] Lr: 0.001000, Training: 1.70%,  Loss: 15.69574, ACC: 0.00% 
01-08 01:37:09 [ 1] Lr: 0.001000, Training: 1.71%,  Loss: 15.69438, ACC: 0.00% 
01-08 01:37:09 [ 1] Lr: 0.001000, Training: 1.72%,  Loss: 15.68981, ACC: 0.00% 
01-08 01:37:30 [ 1] Lr: 0.001000, Training: 1.73%,  Loss: 15.68660, ACC: 0.00% 
01-08 01:37:31 [ 1] Lr: 0.001000, Training: 1.74%,  Loss: 15.68365, ACC: 0.00% 
01-08 01:37:31 [ 1] Lr: 0.001000, Training: 1.75%,  Loss: 15.68258, ACC: 0.00% 
01-08 01:37:31 [ 1] Lr: 0.001000, Training: 1.76%,  Loss: 15.68173, ACC: 0.00% 
01-08 01:37:49 [ 1] Lr: 0.001000, Training: 1.77%,  Loss: 15.68102, ACC: 0.00% 
01-08 01:37:50 [ 1] Lr: 0.001000, Training: 1.78%,  Loss: 15.67842, ACC: 0.00% 
01-08 01:37:50 [ 1] Lr: 0.001000, Training: 1.79%,  Loss: 15.67668, ACC: 0.00% 
01-08 01:37:50 [ 1] Lr: 0.001000, Training: 1.79%,  Loss: 15.67306, ACC: 0.00% 
01-08 01:38:09 [ 1] Lr: 0.001000, Training: 1.80%,  Loss: 15.66907, ACC: 0.00% 
01-08 01:38:09 [ 1] Lr: 0.001000, Training: 1.81%,  Loss: 15.66685, ACC: 0.00% 
01-08 01:38:10 [ 1] Lr: 0.001000, Training: 1.82%,  Loss: 15.66477, ACC: 0.00% 
01-08 01:38:10 [ 1] Lr: 0.001000, Training: 1.83%,  Loss: 15.66358, ACC: 0.00% 
01-08 01:38:31 [ 1] Lr: 0.001000, Training: 1.84%,  Loss: 15.66121, ACC: 0.00% 
01-08 01:38:32 [ 1] Lr: 0.001000, Training: 1.85%,  Loss: 15.65748, ACC: 0.00% 
01-08 01:38:32 [ 1] Lr: 0.001000, Training: 1.86%,  Loss: 15.65429, ACC: 0.00% 
01-08 01:38:32 [ 1] Lr: 0.001000, Training: 1.87%,  Loss: 15.65155, ACC: 0.00% 
01-08 01:38:49 [ 1] Lr: 0.001000, Training: 1.88%,  Loss: 15.64908, ACC: 0.00% 
01-08 01:38:49 [ 1] Lr: 0.001000, Training: 1.89%,  Loss: 15.64805, ACC: 0.00% 
01-08 01:38:50 [ 1] Lr: 0.001000, Training: 1.90%,  Loss: 15.64513, ACC: 0.00% 
01-08 01:38:50 [ 1] Lr: 0.001000, Training: 1.90%,  Loss: 15.64102, ACC: 0.00% 
